CS ID,Ve0,Ve0-Vo0,dx0,Vy
LS-THC-G1-2-E1-10-00B-3030-00000109,60,40,47,0.2
LS-THC-G1-2-E1-10-00B-3030-00000110,60,40,48,0.2
LS-THC-G1-2-E1-10-00B-3030-00000111,60,40,49,0.2
LS-THC-G1-2-E1-10-00B-3030-00000112,60,40,50,0.2
LS-THC-G1-2-E1-10-00B-3030-00000113,60,40,51,0.2
LS-THC-G1-2-E1-10-00B-3030-00000114,60,40,52,0.2
LS-THC-G1-2-E1-10-00B-3030-00000115,60,40,53,0.2
LS-THC-G1-2-E1-10-00B-3030-00000116,60,40,54,0.2
LS-THC-G1-2-E1-10-00B-3030-00000117,60,40,55,0.2
LS-THC-G1-2-E1-10-00B-3030-00000118,60,40,56,0.2
LS-THC-G1-2-E1-10-00B-3030-00000119,60,40,57,0.2
LS-THC-G1-2-E1-10-00B-3030-00000120,60,40,58,0.2
LS-THC-G1-2-E1-10-00B-3030-00000121,60,40,59,0.2
LS-THC-G1-2-E1-10-00B-3030-00000122,60,40,60,0.2
LS-THC-G1-2-E1-10-00B-3030-00000123,60,40,0,0.3
LS-THC-G1-2-E1-10-00B-3030-00000124,60,40,1,0.3
LS-THC-G1-2-E1-10-00B-3030-00000125,60,40,2,0.3
LS-THC-G1-2-E1-10-00B-3030-00000126,60,40,3,0.3
LS-THC-G1-2-E1-10-00B-3030-00000127,60,40,4,0.3
LS-THC-G1-2-E1-10-00B-3030-00000128,60,40,5,0.3
LS-THC-G1-2-E1-10-00B-3030-00000129,60,40,6,0.3
LS-THC-G1-2-E1-10-00B-3030-00000130,60,40,7,0.3
LS-THC-G1-2-E1-10-00B-3030-00000131,60,40,8,0.3
LS-THC-G1-2-E1-10-00B-3030-00000132,60,40,9,0.3
LS-THC-G1-2-E1-10-00B-3030-00000133,60,40,10,0.3
LS-THC-G1-2-E1-10-00B-3030-00000134,60,40,11,0.3
LS-THC-G1-2-E1-10-00B-3030-00000135,60,40,12,0.3
LS-THC-G1-2-E1-10-00B-3030-00000136,60,40,13,0.3
LS-THC-G1-2-E1-10-00B-3030-00000137,60,40,14,0.3
LS-THC-G1-2-E1-10-00B-3030-00000138,60,40,15,0.3
LS-THC-G1-2-E1-10-00B-3030-00000139,60,40,16,0.3
LS-THC-G1-2-E1-10-00B-3030-00000140,60,40,17,0.3
LS-THC-G1-2-E1-10-00B-3030-00000141,60,40,18,0.3
LS-THC-G1-2-E1-10-00B-3030-00000142,60,40,19,0.3
LS-THC-G1-2-E1-10-00B-3030-00000143,60,40,20,0.3
LS-THC-G1-2-E1-10-00B-3030-00000144,60,40,21,0.3
LS-THC-G1-2-E1-10-00B-3030-00000145,60,40,22,0.3
LS-THC-G1-2-E1-10-00B-3030-00000146,60,40,23,0.3
LS-THC-G1-2-E1-10-00B-3030-00000147,60,40,24,0.3
